Rep,Plant_Number,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Trich_number_1,Trich_number_2,Trich_number_3,Stomata,Trichome
1,148,af,ab,45,48,60,21,15,10,51,15.33333333
1,148,af,be,103,137,157,25,25,28,132.3333333,26
1,149,af,ab,50,77,103,19,17,19,76.66666667,18.33333333
1,149,af,be,84,79,107,20,14,16,90,16.66666667
1,150,af,ab,36,56,43,21,26,23,45,23.33333333
1,150,af,be,137,155,93,28,25,11,128.3333333,21.33333333
1,151,af,ab,72,81,37,14,14,16,63.33333333,14.66666667
1,151,af,be,148,185,173,18,16,22,168.6666667,18.66666667
1,152,af,ab,33,36,45,9,9,8,38,8.666666667
1,152,af,be,68,80,98,10,12,11,82,11
1,153,af,ab,67,68,69,14,15,16,68,15
1,153,af,be,199,175,159,15,13,16,177.6666667,14.66666667
1,154,af,ab,105,112,94,24,17,18,103.6666667,19.66666667
1,154,af,be,127,124,117,23,21,26,122.6666667,23.33333333
1,155,af,ab,35,43,37,4,4,4,38.33333333,4
1,155,af,be,65,49,72,4,5,3,62,4
1,156,af,ab,89,126,97,11,13,13,104,12.33333333
1,156,af,be,143,136,149,17,22,20,142.6666667,19.66666667
1,157,af,ab,53,56,52,15,19,15,53.66666667,16.33333333
1,157,af,be,148,111,107,27,27,25,122,26.33333333
1,158,af,ab,69,57,57,8,9,6,61,7.666666667
1,158,af,be,111,123,114,13,9,11,116,11
1,160,af,ab,43,66,41,11,14,8,50,11
1,160,af,be,,130,141,,16,22,135.5,19
1,87,af,ab,69,,,10,,,69,10
1,87,af,be,113,,,16,,,113,16
1,94,af,ab,50,,,17,,,50,17
1,94,af,be,120,,,27,,,120,27
1,95,af,ab,67,,,19,,,67,19
1,95,af,be,125,,,19,,,125,19
1,101,af,ab,43,,,16,,,43,16
1,101,af,be,132,,,18,,,132,18
1,102,af,ab,78,,,14,,,78,14
1,102,af,be,142,,,15,,,142,15
1,106,af,ab,72,,,20,,,72,20
1,106,af,be,194,,,23,,,194,23
1,107,af,ab,30,,,6,,,30,6
1,107,af,be,57,,,6,,,57,6
1,109,af,ab,53,,,10,,,53,10
1,109,af,be,94,,,16,,,94,16
1,111,af,ab,60,,,12,,,60,12
1,111,af,be,146,,,28,,,146,28
1,112,af,ab,80,,,19,,,80,19
1,112,af,be,152,,,13,,,152,13
1,113,af,ab,56,,,19,,,56,19
