Name,Site,Year,Timeline,ID,Treatment,Unique,PrePeak
Rock Creek,S15,2010,153,37,Wet,S15_153_2010_Wet,pre
Rock Creek,S15,2015,164,38,Wet,S15_164_2015_Wet,peak
Sweetwater,S02,2014,29,39,Wet,S02_29_2014_Wet,peak
West Fork,S07,2014,55,40,Wet,S07_55_2014_Wet,peak
West Fork,S07,2014,52,41,Wet,S07_52_2014_Wet,peak
Mill Creek,S11,2010,119,42,Wet,S11_119_2010_Wet,pre
Deer Creek,S36,2011,348,43,Wet,S36_348_2011_Wet,pre
Mill Creek,S11,2010,120,44,Wet,S11_120_2010_Wet,pre
Sweetwater,S02,2010,7,45,Wet,S02_7_2010_Wet,pre
Sweetwater,S02,2010,8,46,Wet,S02_8_2010_Wet,pre
West Fork,S07,2010,38B,47,Wet,S07_38B_2010_Wet,pre
Rock Creek,S15,2015,166,48,Wet,S15_166_2015_Wet,peak
Sweetwater,S02,2014,37,49,Wet,S02_37_2014_Wet,peak
Mill Creek,S11,2010,125,50,Wet,S11_125_2010_Wet,pre
Mill Creek,S11,2016,147A,51,Wet,S11_147A_2016_Wet,peak
Deer Creek,S36,2011,342,52,Wet,S36_342_2011_Wet,pre
West Fork,S07,2014,49,53,Wet,S07_49_2014_Wet,peak
Sweetwater,S02,2010,6,54,Wet,S02_6_2010_Wet,pre
Deer Creek,S36,2015,376,55,Wet,S36_376_2015_Wet,peak
West Fork,S07,2010,38A,56,Wet,S07_38A_2010_Wet,pre
O'Neil Creek,S16,2010,184,57,Wet,S16_184_2010_Wet,pre
O'Neil Creek,S16,2010,189,58,Wet,S16_189_2010_Wet,pre
Deer Creek,S36,2015,372,59,Wet,S36_372_2015_Wet,peak
O'Neil Creek,S16,2010,183,60,Wet,S16_183_2010_Wet,pre
Sweetwater,S02,2014,31,61,Wet,S02_31_2014_Wet,peak
Sweetwater,S02,2014,36,62,Wet,S02_36_2014_Wet,peak
West Fork,S07,2010,39B,63,Wet,S07_39B_2010_Wet,pre
Sweetwater,S02,2014,34,64,Wet,S02_34_2014_Wet,peak
O'Neil Creek,S16,2016,211,65,Wet,S16_211_2016_Wet,peak
Deer Creek,S36,2011,349,66,Wet,S36_349_2011_Wet,pre
Deer Creek,S36,2015,368,67,Wet,S36_368_2015_Wet,peak
Rock Creek,S15,2010,154,68,Wet,S15_154_2010_Wet,pre
Sweetwater,S02,2010,4,69,Wet,S02_4_2010_Wet,pre
Deer Creek,S36,2015,371,70,Wet,S36_371_2015_Wet,peak
Mill Creek,S11,2016,147B,71,Wet,S11_147B_2016_Wet,peak
Sweetwater,S02,2010,5,72,Wet,S02_5_2010_Wet,pre
Mill Creek,S11,2010,121,73,Wet,S11_121_2010_Wet,pre
O'Neil Creek,S16,2016,217,74,Wet,S16_217_2016_Wet,peak
Mill Creek,S11,2016,145B,75,Wet,S11_145B_2016_Wet,peak
Mill Creek,S11,2016,144,76,Wet,S11_144_2016_Wet,peak
Mill Creek,S11,2010,122,77,Wet,S11_122_2010_Wet,pre
Mill Creek,S11,2016,145A,78,Wet,S11_145A_2016_Wet,peak
Rock Creek,S15,2015,169,79,Wet,S15_169_2015_Wet,peak
West Fork,S07,2010,39A,80,Wet,S07_39A_2010_Wet,pre
West Fork,S07,2010,39A,81,Dry,S07_39A_2010_Dry,pre
Mill Creek,S11,2010,125,82,Dry,S11_125_2010_Dry,pre
Mill Creek,S11,2010,120,83,Dry,S11_120_2010_Dry,pre
O'Neil Creek,S16,2010,190,84,Dry,S16_190_2010_Dry,pre
Rock Creek,S15,2010,149,85,Dry,S15_149_2010_Dry,pre
