,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
86,8,22.29390658,390.1862667,272.4990633,0.346684745,25.95627333,1199.999,121,dry,3,2010,S11
87,9,30.63714155,586.3482258,429.362715,0.362692244,26.00295161,1199.98871,121,dry,3,2010,S11
88,10,33.382695,784.6677333,618.5857175,0.386169589,25.98039333,1200.015333,121,dry,3,2010,S11
89,11,33.62410735,984.0284667,814.8021989,0.395679838,25.99740667,1199.996,121,dry,3,2010,S11
90,12,32.71108677,1184.013,1008.484271,0.381800201,26.03178667,1199.999,121,dry,3,2010,S11
91,13,30.55718806,1484.355333,1299.376251,0.352309059,26.03523667,1200.010667,121,dry,3,2010,S11
92,1,15.56304284,392.5382903,330.5543348,0.51249955,25.98006129,1200.022903,121,wet,3,2010,S11
93,2,17.04860251,391.9726,323.1663345,0.495100858,26.00266,1199.997,121,wet,3,2010,S11
94,3,13.35050593,293.7896667,239.5335637,0.486697723,26.00099667,1199.989667,121,wet,3,2010,S11
95,4,8.174115517,196.1531333,161.885739,0.475586357,25.99313333,1199.997667,121,wet,3,2010,S11
96,5,3.002404179,98.50262581,85.16761421,0.473150651,25.99401613,1200.016129,121,wet,3,2010,S11
97,6,0.109307734,49.79436129,48.10386599,0.473400813,26.00035806,1200.026452,121,wet,3,2010,S11
98,7,17.48745055,391.8942258,318.6482502,0.470559685,25.97514839,1200.016452,121,wet,3,2010,S11
99,8,17.65533443,391.8146452,317.8686479,0.470026051,26.00496452,1200.011613,121,wet,3,2010,S11
100,9,22.35507998,589.3680323,492.69647,0.466489822,26.00413871,1199.999677,121,wet,3,2010,S11
101,10,23.8730471,788.1763548,680.6055118,0.465495992,25.99658065,1199.994194,121,wet,3,2010,S11
102,11,23.56566836,987.7278065,875.5908023,0.46333497,25.99671613,1200.003548,121,wet,3,2010,S11
103,12,23.06172875,1187.411613,1070.348852,0.455296713,26.00190645,1199.978065,121,wet,3,2010,S11
104,13,22.59591746,1486.853,1360.498784,0.438932128,26.00392333,1200.014333,121,wet,3,2010,S11
105,1,12.0808724,394.4042667,313.1254152,0.282673084,25.95876333,1200.002333,122,dry,3,2010,S11
106,2,15.01061548,393.2867419,288.9477346,0.264149216,26.00823548,1200.001613,122,dry,3,2010,S11
107,3,12.1174827,294.6344,211.0444045,0.263970526,25.98859333,1200.002,122,dry,3,2010,S11
108,4,7.011956076,196.8306667,148.3264804,0.267812921,25.98497,1200.003667,122,dry,3,2010,S11
109,5,1.846136854,99.02870323,85.13460964,0.272367397,26.00197419,1200.014839,122,dry,3,2010,S11
110,6,-0.649456862,50.15654839,52.64026425,0.27635356,25.99653548,1200.013871,122,dry,3,2010,S11
111,7,16.40030956,392.7236667,286.5883742,0.283871068,25.98583,1200.015,122,dry,3,2010,S11
112,8,17.81837408,392.1106667,279.6830738,0.289405228,25.99612,1199.982667,122,dry,3,2010,S11
113,9,24.54827358,589.0165161,434.8966606,0.294057111,25.98684516,1200.003871,122,dry,3,2010,S11
114,10,26.50282912,787.8201935,619.9716213,0.299863792,25.99774839,1200.028387,122,dry,3,2010,S11
115,11,24.99660594,987.9899333,823.9811875,0.302202876,26.00746,1200.025333,122,dry,3,2010,S11
116,12,23.67939818,1188.201,1022.608054,0.294350126,26.00198,1199.990667,122,dry,3,2010,S11
117,13,23.20115325,1487.881667,1314.065644,0.288103672,25.99772667,1200.035667,122,dry,3,2010,S11
118,1,19.24126242,390.768871,328.4177666,0.642287492,26.12752903,1199.996774,122,wet,3,2010,S11
119,2,21.70127444,389.7943333,322.5189406,0.660960688,26.02357333,1199.988667,122,wet,3,2010,S11
120,3,17.14452389,291.9766774,238.9278754,0.657338172,26.1707129,1200.003548,122,wet,3,2010,S11
121,4,10.77329465,194.9168065,161.6779563,0.665207352,26.02307419,1200.003548,122,wet,3,2010,S11
122,5,3.563540289,98.17997667,86.24894048,0.658753862,25.99655667,1200.000667,122,wet,3,2010,S11
123,6,-0.606993962,50.02895333,50.3574515,0.661876249,26.00476,1200.006333,122,wet,3,2010,S11
124,7,24.11036092,388.8553,314.5284773,0.652675341,25.98130333,1200.011333,122,wet,3,2010,S11
125,8,24.47654719,388.7148333,313.3447908,0.651618993,26.00159667,1199.989,122,wet,3,2010,S11
126,9,32.73747676,584.6538065,481.5836656,0.647143691,26.00509032,1199.967742,122,wet,3,2010,S11
127,10,35.38091371,782.8818333,666.2868094,0.637422581,26.01395,1199.991333,122,wet,3,2010,S11
128,11,35.46259944,982.1664194,858.6514609,0.625769535,26.00384516,1199.986774,122,wet,3,2010,S11
129,12,35.35950934,1181.577419,1050.490536,0.60812814,26.01793226,1200.020323,122,wet,3,2010,S11
130,13,34.42310278,1481.041667,1341.605014,0.586839799,26.01853333,1199.987667,122,wet,3,2010,S11
131,1,12.09530635,394.1274194,332.8471931,0.395831924,25.71448065,1199.992581,123,dry,3,2010,S11
132,2,16.62297633,392.6029,286.4098023,0.286436702,26.08417667,1200.003333,123,dry,3,2010,S11
133,3,12.97864025,294.2597667,217.1597826,0.309535842,25.93935,1199.988333,123,dry,3,2010,S11
134,4,7.99971033,196.4231333,147.076799,0.299419523,25.97255667,1200.003333,123,dry,3,2010,S11
135,5,1.656068448,99.14380333,87.56902512,0.305770978,25.97955333,1199.994333,123,dry,3,2010,S11
136,6,-1.84813203,50.62809032,59.21874871,0.308220528,25.98284516,1199.999677,123,dry,3,2010,S11
137,7,20.38800841,391.051871,274.4272145,0.317842432,25.97700323,1199.982903,123,dry,3,2010,S11
138,8,20.87099262,390.8521613,274.058844,0.324896624,25.98259032,1199.976452,123,dry,3,2010,S11
139,9,27.71041672,587.7015484,432.7420038,0.329474075,25.97747742,1199.987742,123,dry,3,2010,S11
140,10,29.98120565,786.3628387,617.2474104,0.335235234,25.99475484,1199.977097,123,dry,3,2010,S11
141,11,30.52695641,985.7253333,808.9948498,0.335985115,25.98123,1200.005333,123,dry,3,2010,S11
142,12,30.02335052,1185.527097,1003.152762,0.329280257,25.99776452,1200.009032,123,dry,3,2010,S11
143,13,29.12683496,1485.330968,1297.570941,0.324369656,25.98734194,1199.970323,123,dry,3,2010,S11
144,1,19.37408072,390.5551935,333.9864714,0.732526521,26.08364839,1199.996774,123,wet,3,2010,S11
145,2,21.8713,389.5617333,327.855661,0.743928964,26.05527333,1200.007,123,wet,3,2010,S11
146,3,17.69781618,291.6486774,242.8541304,0.754579391,26.0681129,1200.013226,123,wet,3,2010,S11
147,4,11.33137458,194.6302,163.4763012,0.761727923,25.99670333,1199.987,123,wet,3,2010,S11
148,5,3.478387216,98.17983,87.77942334,0.772695226,25.99203667,1200.008667,123,wet,3,2010,S11
149,6,-0.884637366,50.13332258,50.91639089,0.773858306,26.0150129,1200.003871,123,wet,3,2010,S11
150,7,25.08562131,388.2790333,319.9726311,0.756381499,25.99274,1200.004,123,wet,3,2010,S11
151,8,25.78578546,388.0124667,318.4299241,0.761245223,26.00897333,1199.995333,123,wet,3,2010,S11
152,9,32.07966531,584.6422903,495.5493458,0.761301896,26.01562581,1199.99,123,wet,3,2010,S11
153,10,32.89104483,783.4514333,687.4194471,0.760360577,26.00343333,1199.988,123,wet,3,2010,S11
154,11,31.70934504,983.1132667,885.0169252,0.761264723,26.00592333,1199.991333,123,wet,3,2010,S11
155,12,31.16320236,1182.452667,1080.413088,0.758755118,25.99061667,1200.034667,123,wet,3,2010,S11
