"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"85",85,79,1,15.68896594,391.8887419,349.3121605,0.854079917,26.08979355,1199.984194,"121","wet",2,2010,"S11","Pre","South"
"86",86,92,1,7.71934642,396.62725,260.0008407,0.098425025,25.9990375,1200.03375,"122","dry",2,2010,"S11","Pre","South"
"87",87,105,1,16.85831365,391.567,346.0931496,0.82351321,26.05485556,1200.024444,"122","wet",2,2010,"S11","Pre","South"
"88",88,118,1,9.873454472,394.898625,350.6861591,0.487915541,26.0855,1199.97,"123","dry",2,2010,"S11","Pre","South"
"89",89,131,1,18.10438246,390.5934333,345.3410322,0.935785911,26.37160333,1199.984333,"123","wet",2,2010,"S11","Pre","South"
"90",90,144,1,13.97503667,393.383625,327.5492286,0.419732202,26.02955,1200.03375,"124","dry",2,2010,"S11","Pre","South"
"91",91,157,1,15.24239748,392.1721111,354.0028841,0.939697771,26.71424444,1200.022222,"124","wet",2,2010,"S11","Pre","South"
"92",92,170,1,13.71461224,393.5190968,326.2825826,0.404806853,25.97135161,1199.984516,"125","dry",2,2010,"S11","Pre","South"
"93",93,183,1,18.75071519,391.9106774,217.1067824,0.186967108,25.89297097,1200.011613,"125","wet",2,2010,"S11","Pre","South"
"94",94,378,1,10.33966213,394.5858333,349.6561182,0.51525788,26.20712333,1200.021667,"148","dry",2,2010,"S15","Pre","North"
"95",95,391,1,13.74239159,392.6928065,352.5744151,0.807957682,26.06866774,1199.99871,"148","wet",2,2010,"S15","Pre","North"
"96",96,404,1,7.942946741,396.215,335.6535549,0.257860869,26.14297778,1200.014444,"149","dry",2,2010,"S15","Pre","North"
"97",97,417,1,18.02402027,391.2085161,251.4690994,0.23042441,26.1486871,1200.007097,"149","wet",2,2010,"S15","Pre","North"
"98",98,430,1,11.56094557,394.0727778,352.3346734,0.61628007,26.17798889,1199.993333,"152","dry",2,2010,"S15","Pre","North"
"99",99,443,1,16.47064226,391.811125,347.8187757,0.830393121,26.0625625,1200.00625,"152","wet",2,2010,"S15","Pre","North"
"100",100,456,1,14.22705407,392.841,348.7402942,0.711706201,26.067,1199.957778,"153","dry",2,2010,"S15","Pre","North"
"101",101,469,1,15.80403056,391.7486774,348.8703587,0.858794182,26.2681871,1200.007742,"153","wet",2,2010,"S15","Pre","North"
"102",102,482,1,12.88626965,393.7199355,332.5734328,0.430888017,26.14343226,1200.009032,"154","dry",2,2010,"S15","Pre","North"
"103",103,495,1,10.73395618,393.02025,336.9747221,0.390257573,25.93965,1200.03875,"154","wet",2,2010,"S15","Pre","North"
"104",104,508,1,15.58640572,392.816125,319.7015232,0.414153835,26.0362,1199.9825,"155","dry",2,2010,"S15","Pre","North"
"105",105,521,1,6.583500526,397.068125,278.4327486,0.098030228,25.9312375,1199.9825,"155","wet",2,2010,"S15","Pre","North"
"106",106,703,1,16.88182403,391.9759032,329.2809024,0.548550433,25.70306129,1200.01,"183","dry",2,2010,"S16","Pre","North"
"107",107,716,1,11.41293226,394.04925,355.0681433,0.662705534,26.0591125,1199.9675,"183","wet",2,2010,"S16","Pre","North"
"108",108,729,1,11.67329567,394.570875,321.1736169,0.305353735,26.0177375,1199.9975,"184","dry",2,2010,"S16","Pre","North"
"109",109,742,1,12.71703109,393.4026667,354.9800861,0.762701164,26.04575556,1200.005556,"184","wet",2,2010,"S16","Pre","North"
