,X,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site,PrePeak,Region
89,136,6,-0.139278203,49.75680323,48.80026749,1.095398849,26.00439355,1200.012903,123,wet,2,2010,S11,Pre,South
90,149,6,0.128779502,49.80343333,48.02232734,0.410813408,25.99064444,1200.008889,124,dry,2,2010,S11,Pre,South
91,162,6,-0.521709993,49.97388889,50.01511073,0.789006239,25.99468889,1199.995556,124,wet,2,2010,S11,Pre,South
92,175,6,0.933871511,49.50832258,43.78568709,0.351669879,25.97403871,1200.005484,125,dry,2,2010,S11,Pre,South
93,188,6,1.033978444,49.51867419,37.77008035,0.163818334,25.99898387,1199.997097,125,wet,2,2010,S11,Pre,South
94,383,6,1.605483568,49.21270645,41.77313232,0.443295692,26.00907742,1199.999355,148,dry,2,2010,S15,Pre,North
95,396,6,-0.388493328,49.91283871,49.49840774,0.85660973,25.99966129,1200.019677,148,wet,2,2010,S15,Pre,North
96,409,6,0.160134839,49.87633333,46.81016,0.147289458,26.00955556,1199.966667,149,dry,2,2010,S15,Pre,North
97,422,6,0.978469766,49.37788065,41.14211308,0.236788985,26.0109871,1199.965161,149,wet,2,2010,S15,Pre,North
98,435,6,-0.149810492,49.88514444,49.17137697,0.524595699,26.00197778,1199.977778,152,dry,2,2010,S15,Pre,North
99,448,6,-0.304450824,49.91501111,49.44171324,0.855607544,25.98933333,1200.01,152,wet,2,2010,S15,Pre,North
100,461,6,-0.255118181,49.89648889,49.44390648,0.59435208,26.01427778,1199.991111,153,dry,2,2010,S15,Pre,North
101,474,6,-0.614811348,49.99000645,50.02476361,0.883267293,25.99647742,1199.995806,153,wet,2,2010,S15,Pre,North
102,487,6,1.655957606,49.20639667,40.81994724,0.392992537,25.99863333,1200.023667,154,dry,2,2010,S15,Pre,North
103,500,6,0.600916501,49.39798889,45.6533519,0.404921547,26.0022,1200.026667,154,wet,2,2010,S15,Pre,North
104,513,6,0.571087579,49.67193333,45.76031324,0.360558321,25.99045556,1200.026667,155,dry,2,2010,S15,Pre,North
105,526,6,0.114186872,49.88903333,46.69780092,0.100701031,25.98828889,1200.002222,155,wet,2,2010,S15,Pre,North
106,708,6,1.675050507,49.1574129,42.66081803,0.547688667,25.99279677,1199.996774,183,dry,2,2010,S16,Pre,North
107,721,6,0.397079491,49.6818,47.5269947,0.678694216,26.00908889,1199.96,183,wet,2,2010,S16,Pre,North
108,734,6,0.229834972,49.80371111,47.11643295,0.273922341,25.98904444,1200.025556,184,dry,2,2010,S16,Pre,North
109,747,6,-0.4512055,49.98288889,49.91726735,0.734391174,26.00884444,1200.014444,184,wet,2,2010,S16,Pre,North
110,760,6,-0.15529424,49.90513333,49.18981289,0.527669445,26.00735556,1199.977778,185,dry,2,2010,S16,Pre,North
111,773,6,0.301238197,49.81695484,45.56225184,0.173013306,25.98983548,1200.011613,185,wet,2,2010,S16,Pre,North
112,786,6,1.483553042,49.26857097,42.46756738,0.454597565,25.99854839,1200.002903,186,dry,2,2010,S16,Pre,North
113,799,6,0.301871919,49.65511613,47.7775316,0.819463512,26.00947097,1200.009032,186,wet,2,2010,S16,Pre,North
114,812,6,-0.200070662,49.8495,49.19238007,0.840709568,26.00562222,1200.024444,187,wet,2,2010,S16,Pre,North
115,825,6,-0.049244602,49.88837778,48.85404391,0.300108043,25.99222222,1199.995556,189,dry,2,2010,S16,Pre,North
116,838,6,-1.024700872,50.17284444,54.21047261,0.31929326,25.98361111,1199.95,189,wet,2,2010,S16,Pre,North
117,851,6,-0.007329831,49.9344125,48.68741664,0.174422281,25.9842875,1200.00625,190,dry,2,2010,S16,Pre,North
118,864,6,0.114983377,49.8693871,47.37111247,0.185217587,25.98595484,1200.025484,190,wet,2,2010,S16,Pre,North
119,1072,6,1.61469107,49.15500968,43.90074814,0.699849577,26.00990968,1199.991935,3,dry,2,2010,S02,Pre,South
120,1085,6,-0.004925527,49.78564839,48.54688607,0.721709756,26.00165161,1200.012258,3,wet,2,2010,S02,Pre,South
121,1137,6,1.342697813,49.26710645,44.6700688,0.695325402,26.00565806,1200.023548,342,dry,2,2011,S36,Pre,North
122,1150,6,1.531837442,49.26378387,40.43968125,0.345999166,25.99721935,1200.001613,342,wet,2,2011,S36,Pre,North
123,1163,6,0.257079434,49.74094444,47.73515035,0.556885584,25.9997,1200,343,dry,2,2011,S36,Pre,North
124,1176,6,-0.645286544,49.97277778,50.28281905,0.789679021,25.99407778,1199.955556,343,wet,2,2011,S36,Pre,North
125,1189,6,0.747772712,49.41526667,43.8834473,0.290571195,25.98902222,1200.046667,344,dry,2,2011,S36,Pre,North
126,1202,6,-0.165132367,49.86048889,49.12129808,0.685832789,26.00847778,1200.031111,344,wet,2,2011,S36,Pre,North
127,1215,6,1.875093529,49.15258,35.24716714,0.244938224,25.99127667,1199.995,345,dry,2,2011,S36,Pre,North
128,1228,6,-0.16266305,49.7743,48.89231845,1.198217065,25.98282581,1200.003548,345,wet,2,2011,S36,Pre,North
129,1241,6,0.097629305,49.78445556,48.26925644,0.55978771,26.00686667,1199.984444,346,dry,2,2011,S36,Pre,North
130,1254,6,-0.29699773,49.86092222,49.31591078,1.10073099,26.00298889,1200.022222,346,wet,2,2011,S36,Pre,North
131,1267,6,1.859189577,49.15170968,37.47552258,0.297280853,25.99941935,1200.000968,348,dry,2,2011,S36,Pre,North
132,1280,6,-0.098756803,49.8436,48.92030277,0.646042666,25.99687778,1199.987778,348,wet,2,2011,S36,Pre,North
133,1293,6,1.86799839,49.12314516,40.18463826,0.412264703,25.99779032,1200.014839,349,dry,2,2011,S36,Pre,North
134,1306,6,0.651543572,49.49867097,46.97124654,0.879466256,25.98484839,1200.014516,349,wet,2,2011,S36,Pre,North
135,1592,6,1.169633373,49.45811935,37.68458755,0.182035638,25.97641613,1199.98871,38a,dry,2,2010,S07,Pre,South
136,1605,6,0.992391493,49.5087129,41.06335281,0.232187732,25.99501613,1199.980323,38a,wet,2,2010,S07,Pre,South
137,1618,6,1.768439623,49.17560968,37.89278315,0.294033472,25.98166452,1199.992581,38b,dry,2,2010,S07,Pre,South
138,1631,6,0.325605343,49.76635556,46.88541911,0.335852053,25.99576667,1200.014444,38b,wet,2,2010,S07,Pre,South
139,1644,6,-0.407935687,50.01022222,50.19772354,0.491848585,25.98534444,1199.991111,39a,dry,2,2010,S07,Pre,South
140,1657,6,0.183060633,49.72222903,48.03751792,0.709889471,25.98129355,1199.976452,39a,wet,2,2010,S07,Pre,South
141,1670,6,-1.184461838,50.21813333,51.67983598,0.811089775,26.00627778,1200.021111,39b,wet,2,2010,S07,Pre,South
142,1683,6,0.399737397,49.63486129,47.49606004,0.774831847,25.98807419,1200.018387,4,wet,2,2010,S02,Pre,South
143,1696,6,1.222487887,49.43300968,37.5865541,0.189042872,25.99959032,1199.969677,40,dry,2,2010,S07,Pre,South
144,1709,6,1.665301008,49.36642581,66.54953384,-0.136353989,25.98925484,1199.984194,40,wet,2,2010,S07,Pre,South
145,1722,6,1.395641628,49.28660968,43.87790335,0.579478922,26.00510645,1200.000323,41,dry,2,2010,S07,Pre,South
146,1735,6,0.934688963,49.34275484,46.60593511,1.096009013,26.00635484,1200.006774,41,wet,2,2010,S07,Pre,South
147,1774,6,0.84151299,49.46382333,46.30004199,0.77312978,25.98994333,1199.991333,5,wet,2,2010,S02,Pre,South
148,1917,6,0.127937892,49.83255556,47.97611194,0.363389659,25.99972222,1200.018889,6,dry,2,2010,S02,Pre,South
149,1930,6,-0.262850393,49.87166667,49.3586936,0.81298874,25.99836667,1199.992222,6,wet,2,2010,S02,Pre,South
150,1943,6,1.206666474,49.39047419,42.4662345,0.357713913,25.98072581,1200.011935,7,dry,2,2010,S02,Pre,South
151,1956,6,1.423002785,49.31526774,40.80272733,0.334967031,26.00275161,1199.995484,7,wet,2,2010,S02,Pre,South
152,1969,6,-0.454563407,49.97476667,49.95400734,0.696809814,25.99625556,1199.981111,8,dry,2,2010,S02,Pre,South
153,1982,6,0.002250816,49.775,48.6612905,0.866987982,25.99415556,1199.968889,8,wet,2,2010,S02,Pre,South
154,6,6,-0.698630459,50.00483548,50.39480033,0.765424569,26.01428065,1199.968387,1,dry,3,2010,S02,Pre,South
155,19,6,0.131868642,49.71231613,48.1995416,0.780310169,25.9984871,1200.008387,1,wet,3,2010,S02,Pre,South
156,32,6,-0.115873368,49.87053548,48.95025821,0.541474722,25.99382581,1200.002258,119,dry,3,2010,S11,Pre,South
157,45,6,-0.096340229,49.85628065,48.86055336,0.623844806,26.00046129,1199.987419,119,wet,3,2010,S11,Pre,South
158,58,6,-1.795903121,50.52404,54.43209719,0.601861479,26.03930333,1199.983667,120,dry,3,2010,S11,Pre,South
159,71,6,-2.121416917,50.72085,58.29029759,0.401842372,25.95757,1200.012333,120,wet,3,2010,S11,Pre,South
