ID,Treatment,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Stomata,Trich_number_1,Trich_number_2,Trich_number_3,Trichome,Guard_Cell_Length_1,Guard_Cell_Length_2,Guard_Cell_Length_3,Guard_Cell_Length_4,Guard_Cell_Length_5,Guard_Cell_Length_6,Guard_Cell_Length_7,Guard_Cell_Length_8,Guard_Cell_Length_9,Guard_Cell_Length_10,Guard_Cell_Length_11,Guard_Cell_Length_12,Guard_Cell_Length_13,Guard_Cell_Length_14,Guard_Cell_Length_15,Avg_Guard_Cell_Length,Notes
184,w,af,ab,49,,,49,9,,,9,77.698,74.007,86.809,85.856,91.395,82.269,73.583,85.797,81.271,92.824,82.434,85.349,89.042,92.716,79.191,84.01606667,Highlighted have no photos
184,w,af,be,,,,,,,,,,,,,,,,,,,,,,,,,sliver
187,w,af,ab,48,34,34,38.7,2,3,4,3,107.355,100.561,108.477,101.308,102.242,107.834,88.566,124.734,105.09,91.693,107.384,94.764,102.478,91.135,86.864,101.3656667,
187,w,af,be,67,86,80,77.7,7,6,5,6,101.548,77.466,115.906,100.54,99.077,94.565,108.782,89.332,109.829,87.132,84.11,104.482,96.466,88.852,99.6,97.17913333,
189,w,af,ab,63,54,65,60.7,11,12,14,12.3,97.766,88.309,83.853,92.309,89.506,89.805,103.647,90.604,101.769,93.381,92.891,89.115,87.665,86.142,90.621,91.82553333,
189,w,af,be,113,128,127,122.7,17,18,16,17,84.257,96.313,85.381,84.776,87.303,103.114,91.418,98.552,91.034,73.701,87.767,86.693,95.718,85.287,88.851,89.34433333,
190,w,af,ab,70,67,75,70.7,12,9,10,10.3,85.952,71.334,77.735,73.801,79.157,97.946,91.478,77,87.219,82.062,77.468,91.482,88.408,78.006,96.199,83.68313333,
190,w,af,be,146,157,128,143.7,21,20,17,19.3,75.326,71.113,76.922,70.7,60.726,74.465,106.231,83.241,87.882,71.667,78.438,74.214,82.744,73.41,73.884,77.39753333,
211,w,af,ab,66,80,70,72,11,9,8,9.3,87.263,77.799,86.757,85.017,92.034,76.685,77.708,91.713,77.795,83.795,77.524,81.991,79.642,90.782,93.5,84.00033333,
211,w,af,be,117,108,114,113,12,14,14,13.3,79.939,72.732,84.779,77.77,81.377,81.35,78.317,79.857,77.592,84.758,89.269,82.105,89.16,75.99,75.5,80.69966667,
212,w,af,ab,83,93,73,83,12,18,15,15,74.947,78.729,90.708,89.388,84.202,102.758,92.271,97.523,75.541,75.537,85.698,76.342,80.506,76.604,71.847,83.50673333,
212,w,af,be,149,162,166,159,22,23,25,23.3,67.023,78.026,69.371,81.543,68.121,80.753,69.674,65.634,86.395,86.7,83.793,79.971,57.769,63.385,76.549,74.3138,
213,w,af,ab,63,72,52,62.3,10,11,11,10.7,81.575,86.371,80.555,81.057,86.465,83.024,83.096,84.807,100.41,66.455,82.6,68.158,83.176,91.696,85.512,82.99713333,
213,w,af,be,100,109,107,105.3,22,18,21,20.3,90.672,94.976,86.506,89.231,85,93.005,87.677,89.554,83.86,99.705,79.202,78.6,89.872,87.098,75.538,87.3664,
216,w,af,ab,74,,,74,17,,,17,87.227,87.182,84.652,70.872,79.618,76.994,79.555,80.157,79.387,80.81,77.832,75.44,74.027,82.546,86.026,80.155,Highlighted have no photos
216,w,af,be,152,157,167,158.7,21,30,18,23,86.608,76.485,85.467,100.492,75.064,80.593,95.509,65.137,86.817,74.496,85.794,95.059,81.611,86.317,78.6,83.60326667,
217,w,af,ab,62,90,74,75.3,5,11,7,7.7,79.091,92.739,88.547,85.708,102.124,91.576,94.505,100.006,93.922,97.257,88.936,94.279,97.582,100.753,84.417,92.7628,
217,w,af,be,167,146,171,161.3,10,11,13,11.3,59.461,92.24,81.005,85.094,100.305,59.927,89.34,73.705,79.43,92.406,89.24,94.475,85.083,75.257,91.417,83.22566667,
218,w,af,ab,80,62,60,67.3,12,13,15,13.3,89.684,83.236,82.541,90.355,85.412,93.692,85.009,77.858,85.84,71.589,95.74,88.51,74.601,81.851,84.855,84.7182,
218,w,af,be,156,130,138,141.3,16,14,13,14.3,73.527,97.031,74.722,89.568,90.2,83.927,86.196,89.694,68.939,75.769,89.689,71.08,81.752,82.834,85.861,82.71926667,
219,w,af,ab,61,,,61,8,,,8,81.421,79.08,86.303,74.716,86.768,93.934,83.701,77.72,79.882,73.233,79.289,91.885,83.037,72.361,82.91,81.74933333,Highlighted have no photos
219,w,af,be,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
342,w,af,ab,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,Sliver
343,w,af,ab,83,93,100,92,10,14,12,12,85.088,91.979,78.963,66.59,82.006,100.464,77.989,83.726,87.967,88.06,84.47,78.219,80.134,85.69,89.941,84.08573333,
343,w,af,be,172,183,187,180.7,17,17,17,17,89.269,86.331,85.088,73.54,68.337,93.797,80.846,69.318,89.468,87.235,79.057,73.246,84.056,76.856,88.865,81.68726667,
345,w,af,ab,71,86,73,76.7,9,11,11,10.3,93.227,91.782,83.608,84.69,83.301,102.07,81.558,90.446,97.144,94.31,77.337,90.338,82.098,87.551,78.8,87.884,
345,w,af,be,150,150,149,149.7,18,17,17,17.3,84.001,80.139,81.668,80.955,79.823,76.613,79.588,67.007,74.967,82.098,86.525,71.124,89.818,88.303,74.03,79.77726667,
346,w,af,ab,80,85,69,78,9,11,9,9.7,69.183,73.956,65.085,79.976,73.887,74.701,64.808,77.86,73.637,68.947,80.257,87.203,98.23,76.9,80.257,76.3258,
346,w,af,be,135,146,126,135.7,8,13,13,11.3,89.185,82.772,92.5,86.444,95.31,78.871,89.837,86.352,69.08,91.353,89.3,80.087,95.945,74.935,71.555,84.90173333,
348,w,af,ab,62,74,68,68,5,9,12,8.7,85.276,88.927,89.448,92.804,97.603,84.744,85.698,77.357,91.509,80.223,89.051,90.732,89.092,85.856,76.924,87.01626667,
348,w,af,be,125,132,134,130.3,9,9,14,10.7,89.056,86.145,78.859,88.155,89.122,91.22,84.217,84.152,80.401,84.978,87.115,92.068,98.383,84.114,96.985,87.66466667,
371,w,af,ab,120,119,108,115.7,15,13,16,14.7,77.692,73.274,72.7,90.26,74.576,94.404,86.4,78.983,85.378,103.635,85.897,82.28,80.277,78.08,79.076,82.8608,
371,w,af,be,218,163,205,195.3,23,21,24,22.7,50.941,83.744,75.2855,87.874,79.014,92.726,78.891,105.112,86.259,71.57,84.727,97.691,84.536,73.614,78.935,82.0613,
373,w,af,ab,66,65,69,66.7,6,12,9,9,83.6,69.869,80.73,83.644,76.903,88.998,91.872,75.755,77.257,90.168,87.464,85.645,82.069,84.517,70.975,81.9644,
373,w,af,be,159,164,147,156.7,13,13,13,13,87.71,87.013,85.77,86.039,81.482,86.77,89.527,75.824,74.396,87.001,83.762,78.588,82.871,67.791,91.168,83.04746667,
374,w,af,ab,59,48,46,51,10,16,11,12.3,90.607,87.864,86.857,76.91,81.665,80.669,87.089,83.085,81.959,85.817,85.172,75.296,79.149,83.415,75.769,82.75486667,
374,w,af,be,,,111,111,16,,10,13,,,,,,,,,,,85.231,94.096,89.981,80.986,83.016,86.662,Unable to be counted (Trichomes/stomata not visible)
376,w,af,ab,69,63,61,64.3,12,12,9,11,95.235,81.223,81.248,60.508,91.343,92.609,89.51,81.912,85.842,90.483,89.359,83.23,88.347,96.502,89.889,86.48266667,
376,w,af,be,132,142,151,141.7,9,13,14,12,87.846,82.614,95.367,87.54,81.296,97.985,103.543,99.961,88.006,87.367,94.385,73.974,83.995,81.356,83,88.549,
147B,D,af,ab,,,,,40,48,42,,,,,,,,,,,,,,,,,,
147B,D,af,be,,,,,42,53,66,,,,,,,,,,,,,,,,,,
35,w,be,ab,54,,,54,10,,,10,92.574,96.566,84,93.622,95.182,107.106,91.512,99.298,83.08,80.05,97.183,97.604,81.056,88.806,83.235,91.3916,Highlighted have no photos
38A,w,be,ab,38,51,54,47.7,8,9,9,8.7,99.298,85.049,89.889,87.548,97.268,85.422,91.526,93.042,90.992,98.858,100.955,83.863,76.697,93.771,79.931,90.27393333,
38A,w,be,be,79,82,80,80.3,14,9,10,11,89.736,79.601,90.089,75.082,80.88,81.32,94.835,83.014,99.421,77.389,97.962,99.02,90.301,101.048,90.897,88.70633333,
55,w,be,ab,57,70,54,60.3,5,8,8,7,79.076,75.813,72.584,78.312,75.769,73.426,69.759,74.216,64.677,74.091,65.96,66.727,67.864,77.165,80.432,73.05806667,
55,w,be,be,80,,,80,11,,,11,85.279,87.824,91.372,80.994,78.741,72.958,74.539,65.374,67.231,73.305,62.891,65.834,78.629,65.812,74.974,75.05046667,
